Szenario,Success Rate (%),Total Reward,Avg. Reward,Avg. Steps,Reward Variance
static,68.89999999999999,-3144.0,-3.14,7.6,76.02
random_start,80.0,2406.0,2.41,4.4,78.19
random_goal,34.300000000000004,-10920.0,-10.92,8.1,148.2
random_obstacles,18.5,-11477.0,-11.48,5.4,50.88
container,12.8,-14210.0,-14.21,11.3,165.26
