algorithm,scenario,run,success_rate,avg_steps,avg_reward
Q-Learning,static,1,81.6,8.1,-1.01
Q-Learning,random_start,1,88.7,4.4,4.2
Q-Learning,random_goal,1,37.8,8.9,-10.98
Q-Learning,random_obstacles,1,18.2,5.5,-11.69
Q-Learning,container,1,0.0,11.6,-15.36
DQN,static,1,100.0,8.07,2.93
DQN,random_start,1,100.0,4.24,6.76
DQN,random_goal,1,48.0,9.96,-9.88
DQN,random_obstacles,1,27.0,4.81,-9.14
DQN,container,1,0.0,4.36,-13.72
