Szenario,Success Rate (%),Total Reward,Avg. Reward,Avg. Steps,Reward Variance
static,81.6,-1010.0,-1.01,8.1,49.62
random_start,87.9,4101.0,4.1,4.4,50.87
random_goal,37.0,-10286.0,-10.29,8.1,160.03
random_obstacles,21.6,-10809.0,-10.81,5.3,52.22
container,13.0,-14754.0,-14.75,12.0,174.77
