algorithm,scenario,run,success_rate,avg_steps,avg_reward
Q-Learning,static,1,68.89999999999999,7.6,-3.14
Q-Learning,random_start,1,77.8,4.4,1.94
Q-Learning,random_goal,1,25.4,7.5,-12.12
Q-Learning,random_obstacles,1,17.2,5.3,-11.73
Q-Learning,container,1,0.0,10.8,-15.9
DQN,static,1,0.0,3.22,-13.22
DQN,random_start,1,100.0,4.29,6.71
DQN,random_goal,1,59.0,10.19,-7.8
DQN,random_obstacles,1,32.0,5.14,-8.42
DQN,container,1,0.0,6.07,-15.03
